#;index;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;averageRating;numVotes;ordering;region;language;types;attributes;isOriginalTitle;main_genre;secondary_genre
1;1;tt0103064;movie;Terminator 2: Judgment Day;0;1991;137;8.6;1128166;17;US;en;dvd;\N;0;Action;Sci-Fi
10;17;tt0231050;tvSeries;ToransufÃ´mÃ¢: KÃ¢robotto;0;2000;22;6.6;577;16;US;en;alternative;\N;0;Action;Adventure
13;23;tt0253474;movie;The Pianist;0;2002;150;8.5;860569;7;US;en;imdbDisplay;\N;0;Biography;Drama
21;55;tt0369339;movie;Collateral;0;2004;120;7.5;417391;6;US;en;imdbDisplay;\N;0;Action;Crime
28;87;tt0439547;movie;2 Filhos de Francisco: A HistÃ³ria de ZezÃ© di Camargo & Luciano;0;2005;132;6.9;5946;5;US;en;imdbDisplay;\N;0;Biography;Drama
42;127;tt0790636;movie;Dallas Buyers Club;0;2013;117;7.9;502242;3;US;en;working;\N;0;Biography;Drama
64;227;tt10687506;movie;The Electrical Life of Louis Wain;0;2021;111;68;17455;37;US;en;imdbDisplay;\N;0;Biography;Drama
67;244;tt10925770;movie;Himeul naeyo, Miseuteo Lee;0;2019;111;6.9;487;3;US;en;imdbDisplay;\N;0;Comedy;Drama
70;249;tt10954984;movie;Nope;0;2022;130;6.8;234283;43;US;en;imdbDisplay;\N;0;Horror;Mystery
74;265;tt11247158;tvSeries;The Legend of Vox Machina;0;2022;30;8.4;35526;12;US;en;working;\N;0;Action;Adventure
80;277;tt11681282;movie;Le bal des folles;0;2021;122;6.6;3732;12;US;en;imdbDisplay;\N;0;Drama;Thriller
85;293;tt1222816;movie;Pollen;0;2011;81;7.3;676;6;US;en;imdbDisplay;\N;0;Documentary;Family
88;299;tt12443930;MOVIE;Les choses qu'on dit, les choses qu'on fait;0;2020;122;6.9;2689;39;US;en;imdbDisplay;\N;0;Comedy;Drama
90;305;tt1270798;movie;X: First Class;0;2011;131;7.7;706738;43;US;en;imdbDisplay;\N;0;Action;Sci-Fi
94;314;tt1300854;movie;Iron Man Three;0;2013;130;7.1;872400;24;US;en;imdbDisplay;\N;0;Action;Adventure
98;322;tt1337047;movie;Angels in Exile;0;2016;78;7.0;51;2;US;en;working;\N;0;Documentary;No tiene
106;350;tt14033416;movie;Rengeteg - Mindenhol lÃ¡tlak;0;2021;112;6.7;378;1;US;en;imdbDisplay;\N;0;Drama;No tiene
107;352;tt1411245;movie;Kwanini;0;2011;102;8.9;25;4;US;en;imdbDisplay;\N;0;Documentary;No tiene
115;365;tt1442188;tvMiniSeries;Wildes Russland;0;2008;360;8.3;639;9;US;en;imdbDisplay;\N;0;Documentary;No tiene
123;390;tt1478839;movie;The Art of Racing in the Rain;0;2019;109;7.5;34530;35;US;en;imdbDisplay;\N;0;Comedy;Drama
125;395;tt1483324;movie;At Middleton;0;2013;99;6.5;8867;16;US;en;working;\N;0;Comedy;Romance
145;438;tt1650062;movie;Super 8;0;2011;112;7.0;361538;52;US;en;dvd;\N;0;Action;Mystery
148;443;tt1699720;movie;Women Art Revolution;0;2010;83;6.8;252;5;US;en;imdbDisplay;\N;0;Documentary;No tiene
150;452;tt1745718;movie;Holbrook/Twain: An American Odyssey;0;2014;93;8.9;44;2;US;en;working;\N;0;Biography;Documentary
151;453;tt1759660;movie;G.W.B.;0;2011;90;6.6;109;2;US;en;imdbDisplay;\N;0;Drama;No tiene
163;475;tt1876277;MOVIE;Into the White;0;2012;104;7.1;21902;13;US;en;imdbDisplay;\N;0;Action;Biography
171;489;tt1934172;movie;Heroes of Dirt;0;2015;98;7.1;116;1;US;en;working;\N;0;Action;Drama
172;491;tt1950186;movie;Ford v Ferrari;0;2019;152;8.1;423492;17;US;en;imdbDisplay;\N;0;Action;Biography
173;492;tt1951181;movie;The Immigrant;0;2013;120;6.6;32935;25;US;en;working;\N;0;Drama;Romance
175;495;tt1967651;movie;Unconditional;0;2012;92;6.6;755;5;US;en;imdbDisplay;\N;0;Drama;Thriller
180;512;tt2106476;movie;Jagten;0;2012;115;8.3;343367;36;US;en;imdbDisplay;\N;0;Drama;No tiene
189;537;tt2262275;movie;The One Who Loves You;0;2013;95;8.1;60;3;US;en;working;\N;0;Comedy;Drama
190;539;tt2277296;tvSeries;Guntucky;0;2013;60;6.7;17;4;US;en;working;\N;0;Reality-TV;No tiene
191;542;tt2328387;tvSeries;Washington Heights;0;2013;60;6.6;88;3;US;en;working;\N;0;Reality-TV;No tiene
195;551;tt2392672;movie;RÃ©alitÃ©;0;2014;95;6.9;6410;6;US;en;festival;\N;0;Comedy;No tiene
197;556;tt2401814;movie;The Loneliest Whale: The Search for 52;0;2021;96;6.5;452;2;US;en;working;\N;0;Adventure;Documentary
199;558;tt2412748;movie;Saving Mes Aynak;0;2014;60;9.0;1038;2;US;en;working;\N;0;Documentary;No tiene
203;569;tt2564156;movie;In God We Trust;0;2013;82;7.6;32;4;US;en;working;\N;0;Documentary;No tiene
205;573;tt2645000;movie;The Sarnos: A Life in Dirty Movies;0;2013;100;6.6;513;6;US;en;imdbDisplay;\N;0;Biography;Documentary
208;577;tt2690226;movie;The Chaperone;0;2018;108;6.6;1784;12;US;en;imdbDisplay;\N;0;Drama;No tiene
209;579;tt2713778;movie;Cathedrals of Culture;0;2014;165;6.9;278;9;US;en;festival;\N;0;Documentary;No tiene
212;583;tt2802008;tvSeries;Once Upon a Time in Wonderland;0;2013;42;6.9;12649;15;US;en;working;\N;0;Adventure;Drama
214;589;tt2935516;movie;Money;0;2017;90;6.5;445;10;US;en;working;\N;0;Thriller;No tiene
215;590;tt2948372;movie;Soul;0;2020;100;8.0;348650;51;US;en;imdbDisplay;\N;0;Adventure;Animation
218;596;tt3080844;movie;Crocodile Gennadiy;0;2015;96;7.5;514;7;US;en;working;\N;0;Biography;Documentary
226;613;tt3463250;movie;A Despedida;0;2014;90;7.3;129;1;US;en;imdbDisplay;\N;0;Drama;No tiene
228;616;tt3513500;movie;Chip 'n Dale: Rescue Rangers;0;2022;97;7.0;44062;46;US;en;imdbDisplay;\N;0;Action;Adventure
229;618;tt3561180;tvSeries;ÃfÃ¦rÃ°;0;2015;60;8.0;23575;13;US;en;imdbDisplay;\N;0;Crime;Drama
232;623;tt3682448;movie;Bridge of Spies;0;2015;142;7.6;319346;11;US;en;working;\N;0;Drama;History
236;631;tt3829920;movie;Only the Brave;0;2017;134;7.6;73502;25;US;en;working;\N;0;Action;Biography
239;636;tt3909224;tvSeries;Nanatsu no taizai;0;2014;24;7.8;34929;38;US;en;imdbDisplay;\N;0;Action;Adventure
242;643;tt4121306;movie;Lac Gioi;0;2014;93;68;75;4;US;en;alternative;\N;0;Action;Drama
248;651;tt4263482;movie;The VVitch: A New-England Folktale;0;2015;92;7.0;278711;2;US;en;imdbDisplay;\N;0;Drama;Fantasy
250;654;tt4337894;tvMiniSeries;You, Me and the Apocalypse;0;2015;30;7.6;7802;8;US;en;working;\N;0;Comedy;Drama
253;658;tt4460792;movie;Calm with Horses;0;2019;100;6.8;6378;14;US;en;alternative;\N;0;Crime;Drama
255;664;tt4575576;movie;Christopher Robin;0;2018;104;7.2;81198;33;US;en;imdbDisplay;\N;0;Adventure;Comedy
257;667;tt4633694;movie;Spider-Man: Into the Spider-Verse;0;2018;117;8.4;601056;34;US;en;imdbDisplay;\N;0;Action;Adventure
259;669;tt4642192;movie;Trautmann;0;2018;120;7.2;6035;3;US;en;imdbDisplay;\N;0;Biography;Drama
260;674;tt4717402;movie;Mutafukaz;0;2017;94;6.7;4884;23;US;en;imdbDisplay;\N;0;Action;Animation
263;680;tt4912910;movie;Mission: Impossible - Fallout;0;2018;147;7.7;347314;28;US;en;alternative;\N;0;Action;Adventure
264;681;tt4935462;movie;Amazing Grace;0;2018;89;7.5;4919;4;US;en;imdbDisplay;\N;0;Documentary;Music
266;684;tt5013056;MOVIE;Dunkirk;0;2017;106;7.8;686165;19;US;en;imdbDisplay;\N;0;Action;Drama
267;685;tt5021208;movie;Hands of God;0;2020;75;8.3;10;3;US;en;imdbDisplay;\N;0;Sport;War
269;687;tt5057054;tvSeries;Jack Ryan;0;2018;60;8.0;151816;43;US;en;imdbDisplay;\N;0;Action;Drama
277;715;tt5882982;movie;22-nenme no kokuhaku: Watashi ga satsujinhan desu;0;2017;118;6.8;2157;14;US;en;alternative;\N;0;Action;Crime
281;722;tt6067752;movie;Lucifer;0;2019;175;7.5;11862;7;US;en;imdbDisplay;\N;0;Action;Crime
282;727;tt6133484;movie;Raakshas;0;2018;115;7.4;53;3;US;en;alternative;\N;0;Adventure;Drama
285;733;tt6330246;movie;L'Ã©cole buissonniÃ¨re;0;2017;116;6.9;1772;9;US;en;imdbDisplay;\N;0;Comedy;Drama
286;734;tt6428150;movie;Free Dance;0;2016;103;68;2138;2;US;en;imdbDisplay;\N;0;Music;Romance
289;738;tt6484074;tvMiniSeries;Legacy: The True Story of the LA Lakers;0;2022;60;8.3;1264;25;US;en;imdbDisplay;\N;0;Documentary;History
290;740;tt6514010;movie;Brij Mohan Amar Rahe;0;2017;105;6.6;3864;9;US;en;imdbDisplay;\N;0;Comedy;Crime
291;743;tt6705860;movie;Diane;0;2018;95;6.7;1607;6;US;en;imdbDisplay;\N;0;Drama;No tiene
297;753;tt6854966;movie;PequeÃ±os HÃ©roes;0;2017;76;7.7;20;5;US;en;imdbDisplay;\N;0;Animation;No tiene
301;764;tt7019942;movie;Super Deluxe;0;2019;176;8.3;16278;13;US;en;imdbDisplay;\N;0;Comedy;Crime
302;768;tt7161312;tvSeries;Informer;0;2018;60;7.8;6199;13;US;en;imdbDisplay;\N;0;Crime;Drama
304;773;tt7279188;movie;Kona fer Ã­ strÃ­Ã°;0;2018;101;7.4;10767;25;US;en;imdbDisplay;\N;0;Adventure;Comedy
305;774;tt7297960;movie;Fen bei ren sheng;0;2017;91;6.6;300;4;US;en;imdbDisplay;\N;0;Drama;No tiene
306;775;tt7298400;movie;Jiang hu er nÃ¼;0;2018;136;7.0;10057;34;US;en;imdbDisplay;\N;0;Crime;Drama
308;778;tt7406320;tvSeries;History of Horror;0;2018;42;8.1;2428;18;US;en;imdbDisplay;\N;0;Documentary;Horror
309;780;tt7468056;movie;Beomjoidosi;0;2017;121;7.2;10207;20;US;en;imdbDisplay;\N;0;Action;Crime
